first_name,second_name,web_name,team,minutes,goals_scored,assists,clean_sheets,total_points,form,ict_index,influence,creativity,threat,now_cost,selected_by_percent
Pape Matar,Sarr,P.M.Sarr,18,1901,3,2,2,71,0.0,87.2,398.4,257.2,220.0,47,0.2
Dane,Scarlett,Scarlett,18,31,0,1,0,6,0.0,5.2,24.4,11.0,17.0,44,0.7
Manor,Solomon,Solomon,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,54,0.0
Son,Heung-min,Son,18,2106,7,10,4,129,0.0,207.2,629.6,734.9,707.0,97,4.1
Djed,Spence,Spence,18,1790,1,2,3,51,0.0,76.1,433.0,226.6,100.0,44,0.7
Destiny,Udogie,Udogie,18,1923,0,1,2,43,0.0,74.5,354.8,256.5,132.0,48,1.5
Micky,van de Ven,Van de Ven,18,1014,0,2,2,32,0.0,30.9,212.0,39.4,57.0,45,2.4
Alejo,Véliz,Veliz,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50,0.0
Guglielmo,Vicario,Vicario,18,2160,0,0,4,66,0.0,58.5,587.8,0.0,0.0,48,1.8
Timo,Werner,Werner,18,504,0,3,1,34,0.0,37.1,114.6,148.0,113.0,62,0.1
Alfie,Whiteman,Whiteman,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,39,1.7
Will,Lankshear,Lankshear,18,10,0,0,0,3,0.0,0.0,0.0,0.0,0.0,45,1.0
Mikey,Moore,Moore,18,359,0,2,0,19,0.0,11.0,33.2,45.2,34.0,45,0.2
Wilson,Odobert,Odobert,18,843,1,0,1,34,0.0,36.7,101.2,108.6,156.0,53,0.0
Callum,Olusesi,Olusesi,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
Malachi,Hardy,Hardy,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Luca,Williams-Barnett,Williams-Barnett,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
Alfie,Dorrington,Dorrington,18,13,0,0,0,1,0.0,0.1,1.0,0.2,0.0,40,0.0
Maeson,King,King,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Antonín,Kinsky,Kinsky,18,540,0,0,1,17,0.0,21.7,208.2,10.1,0.0,41,0.1
Min-Hyeok,Yang,Yang,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
Damola,Ajayi,Ajayi,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
Ange,Postecoglou,Postecoglou,18,0,0,0,0,58,0.0,0.0,0.0,0.0,0.0,11,1.3
Dante,Cassanova,Cassanova,18,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Kevin,Danso,Danso,18,842,0,0,1,16,0.0,34.9,242.0,34.4,72.0,44,0.0
Mathys,Tel,Tel,18,908,2,2,2,42,0.0,62.3,183.8,208.3,236.0,58,0.1
Evan,Ferguson,Ferguson,19,385,1,0,1,28,0.0,25.0,80.0,68.5,104.0,55,0.3
Aaron,Wan-Bissaka,Wan-Bissaka,19,3154,2,6,6,118,0.0,152.7,807.4,531.5,188.0,45,6.4
Edson,Álvarez Velázquez,Álvarez,19,1769,0,1,3,40,0.0,54.7,281.8,213.9,51.0,50,0.1
Michail,Antonio,Antonio,19,834,1,4,4,42,0.0,39.5,72.0,139.5,194.0,52,0.8
Alphonse,Areola,Areola,19,2259,0,0,4,69,0.0,62.1,619.8,0.0,0.0,42,7.2
Jarrod,Bowen,Bowen,19,2974,13,11,8,193,0.0,271.9,903.0,737.8,1081.0,79,18.0
Vladimír,Coufal,Coufal,19,1056,0,0,2,27,0.0,41.3,204.0,142.0,70.0,41,0.4
Aaron,Cresswell,Cresswell,19,818,0,0,3,36,0.0,31.4,148.4,152.3,14.0,39,1.7
George,Earthy,Earthy,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
Emerson,Palmieri dos Santos,Emerson,19,2108,2,1,5,76,0.0,90.4,420.4,310.9,173.0,44,0.6
Łukasz,Fabiański,Fabianski,19,1160,0,0,2,39,0.0,38.7,387.8,0.3,0.0,39,10.0
Wes,Foderingham,Foderingham,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,42,0.1
Danny,Ings,Ings,19,270,1,3,0,32,0.0,33.4,97.0,76.5,159.0,48,1.2
Max,Kilman,Kilman,19,3348,0,1,6,82,0.0,118.8,832.6,203.3,149.0,43,1.3
Mohammed,Kudus,Kudus,19,2589,5,4,7,106,0.0,177.5,471.6,552.5,752.0,62,2.6
Luis Guilherme,Lira dos Santos,L.Guilherme,19,139,0,0,0,12,0.0,10.8,27.6,49.1,32.0,46,0.0
Lucas,Tolentino Coelho de Lima,L.Paquetá,19,2374,4,1,4,80,0.0,132.6,433.2,627.7,267.0,57,0.9
Konstantinos,Mavropanos,Mavropanos,19,2035,0,0,2,45,0.0,73.2,497.0,74.9,160.0,43,0.1
Nayef,Aguerd,N.Aguerd,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,44,0.0
Tomáš,Souček,Souček,19,2563,9,2,7,126,0.0,154.0,672.6,231.8,643.0,48,1.5
James,Ward-Prowse,Ward-Prowse,19,1433,1,2,5,51,0.0,80.0,282.4,378.3,138.0,61,0.5
Kurt,Zouma,Zouma,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,44,0.1
Andy,Irving,Irving,19,161,0,0,0,9,0.0,8.1,37.6,26.5,17.0,47,0.0
Crysencio,Summerville,Summerville,19,776,1,1,2,33,0.0,58.7,156.4,246.1,186.0,55,0.3
Guido,Rodríguez,G.Rodríguez,19,1147,0,1,4,36,0.0,31.5,205.4,79.7,29.0,48,0.1
Niclas,Füllkrug,Füllkrug,19,783,3,2,2,42,0.0,56.8,187.2,173.3,221.0,67,0.9
Jean-Clair,Todibo,Todibo,19,1824,0,0,5,54,0.0,44.5,373.0,37.1,35.0,42,0.3
Kaelan,Casey,Casey,19,1,0,0,0,1,0.0,0.2,2.0,0.0,0.0,40,0.2
Carlos,Soler,C.Soler,19,1394,1,1,2,47,0.0,67.2,189.0,295.8,186.0,50,0.0
Ollie,Scarles,Scarles,19,659,0,0,2,29,0.0,18.6,106.4,54.3,24.0,40,0.1
Ezra,Mayers,Mayers,19,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Lewis,Orford,Orford,19,47,0,0,0,2,0.0,4.0,6.4,27.6,6.0,45,0.0
Graham,Potter,Potter,19,0,0,0,0,84,0.0,0.0,0.0,0.0,0.0,5,2.6
Sam,Johnstone,Johnstone,20,630,0,0,0,12,0.0,20.4,193.8,10.0,0.0,41,0.2
Rayan,Aït-Nouri,Aït-Nouri,20,3112,4,7,7,125,0.0,191.0,778.4,694.3,435.0,51,15.0
Boubacar,Traoré,B.Traore,20,1,0,0,0,1,0.0,0.4,4.0,0.0,0.0,48,0.0
Jean-Ricner,Bellegarde,Bellegarde,20,1666,2,7,6,90,0.0,97.2,355.6,422.8,200.0,49,0.2
Daniel,Bentley,Bentley,20,180,0,0,1,9,0.0,6.0,60.0,0.0,0.0,39,1.7
Francisco Jorge,Tomás Oliveira,Chiquinho,20,6,0,0,0,1,0.0,1.9,3.0,14.3,2.0,45,0.1
Tawanda,Chirewa,Chirewa,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
Leon,Chiwome,Chiwome,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,44,1.1
Luke,Cundle,Cundle,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.1
Matheus,Santos Carneiro Da Cunha,Cunha,20,2596,15,7,7,178,0.0,272.2,936.2,847.8,940.0,70,13.6
Craig,Dawson,Dawson,20,969,0,1,1,17,0.0,29.1,204.2,31.3,55.0,42,0.1
Matt,Doherty,Doherty,20,2105,2,1,6,75,0.0,81.8,502.2,179.9,135.0,43,0.3
Tommy,Doyle,Doyle,20,474,0,1,0,28,0.0,25.3,114.6,101.7,34.0,47,0.0
Fábio,Silva,Fábio Silva,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,50,0.1
Nathan,Fraser,Fraser,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,1.0
Enso,González,Gonzalez,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,44,0.0
Gonçalo Manuel,Ganchinho Guedes,Guedes,20,979,2,4,3,62,0.0,64.0,215.8,213.9,217.0,53,0.1
Hugo,Bueno López,H.Bueno,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
Hwang,Hee-chan,Hee Chan,20,646,2,1,0,37,0.0,26.7,111.6,72.7,84.0,61,0.2
Joe,Hodge,Hodge,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.2
Ki-Jana,Hoever,Hoever,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.1
João Victor,Gomes da Silva,J.Gomes,20,2975,3,1,6,87,0.0,117.3,513.4,428.9,231.0,49,0.2
José,Malheiro de Sá,José Sá,20,2610,0,0,7,93,0.0,63.4,603.4,30.0,0.0,44,2.8
Saša,Kalajdžić,Kalajdžić,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,48,0.0
Tom,King,King,20,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,39,1.2
Mario,Lemina,Mario Jr.,20,1363,1,3,1,47,0.0,64.4,356.8,166.7,120.0,48,0.1
Yerson,Mosquera,Mosquera,20,441,0,0,0,3,0.0,16.0,110.2,27.3,21.0,38,0.7
Nélson,Cabral Semedo,N.Semedo,20,2889,0,4,8,84,0.0,106.0,504.6,404.9,149.0,45,0.6
Pedro,Cardoso de Lima,Pedro Lima,20,69,0,0,0,2,0.0,6.9,23.4,34.8,11.0,39,1.2
Daniel,Castelo Podence,Podence,20,46,0,0,0,2,0.0,0.4,3.0,1.1,1.0,55,0.0
Rodrigo,Martins Gomes,R.Gomes,20,794,2,0,1,42,0.0,47.6,186.6,180.2,113.0,51,0.1
Santiago,Bueno,S.Bueno,20,1678,0,0,5,52,0.0,44.2,345.4,15.8,80.0,43,0.1
Pablo,Sarabia,Sarabia,20,800,3,2,1,50,0.0,63.8,217.6,245.9,177.0,50,0.1
Jørgen,Strand Larsen,Strand Larsen,20,2587,14,4,7,145,0.0,179.5,646.8,303.4,848.0,52,2.6
Toti António,Gomes,Toti,20,2613,0,1,8,79,0.0,86.5,617.2,144.2,102.0,43,0.3
Bastien,Meupiyou,Meupiyou,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,39,0.2
André,Trindade da Costa Neto,André,20,2472,0,0,7,61,0.0,69.7,383.2,285.5,30.0,50,0.0
Carlos Roberto,Forbs Borges,Forbs,20,236,0,0,0,9,0.0,8.3,25.8,24.2,35.0,54,0.0
Alfie,Pond,Pond,20,1,0,0,0,1,0.0,0.0,0.0,0.0,0.0,39,0.7
Tom,Edozie,Edozie,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,45,0.0
Wes,Okoduwa,Okoduwa,20,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,40,0.0
Emmanuel,Agbadou,Agbadou,20,1410,1,0,4,45,0.0,52.0,395.2,57.3,67.0,40,0.4
Vítor Manuel,de Oliveira Lopes Pereira,Pereira,20,0,0,0,0,111,0.0,0.0,0.0,0.0,0.0,8,2.3
Nasser,Djiga,Djiga,20,65,0,0,0,4,0.0,0.8,5.6,2.1,0.0,45,0.0
Marshall,Munetsi,Munetsi,20,1077,2,2,5,50,0.0,52.3,176.8,132.9,212.0,50,0.1
Mateus,Mané,Mané,20,1,0,0,0,1,0.0,0.0,0.0,0.3,0.0,45,0.1
