player_id,web_name,team,gw,minutes,goals_scored,assists,clean_sheets,ict_index,influence,creativity,threat,opponent_team,was_home,fixture_difficulty,form,total_points,season
72,Aaron_Connolly_72,unknown,2,45,0,0,0,0.5,0.0,1.1,6.0,18,True,2.5,1.0,1,2021/22
72,Aaron_Connolly_72,unknown,6,14,0,0,0,0.1,0.2,0.3,0.0,7,False,3.5,1.25,1,2021/22
72,Aaron_Connolly_72,unknown,15,35,0,0,0,2.3,2.2,10.4,10.0,16,False,3.5,0.0,1,2021/22
72,Aaron_Connolly_72,unknown,17,60,0,0,0,0.2,0.0,1.3,2.0,20,True,2.5,0.0,2,2021/22
411,Aaron_Cresswell_411,unknown,1,90,1,0,0,9.1,55.8,17.5,18.0,14,False,3.5,0.0,7,2021/22
411,Aaron_Cresswell_411,unknown,2,90,0,0,0,1.9,8.6,4.2,6.0,9,True,2.5,7.0,2,2021/22
411,Aaron_Cresswell_411,unknown,3,90,0,1,0,3.9,20.2,17.2,2.0,7,True,2.5,4.5,5,2021/22
411,Aaron_Cresswell_411,unknown,4,90,0,0,1,4.4,10.0,24.6,9.0,16,False,3.5,4.666666666666667,8,2021/22
411,Aaron_Cresswell_411,unknown,5,90,0,0,0,4.3,15.4,27.3,0.0,13,True,2.5,5.5,1,2021/22
411,Aaron_Cresswell_411,unknown,6,90,0,0,0,5.4,17.2,25.3,11.0,10,False,3.5,4.6,2,2021/22
411,Aaron_Cresswell_411,unknown,7,90,0,0,0,8.7,22.8,64.0,0.0,3,True,2.5,3.6,1,2021/22
411,Aaron_Cresswell_411,unknown,8,90,0,0,1,2.1,16.0,4.9,0.0,8,False,3.5,3.4,7,2021/22
411,Aaron_Cresswell_411,unknown,9,90,0,1,1,4.2,26.8,15.6,0.0,17,True,2.5,3.8,12,2021/22
411,Aaron_Cresswell_411,unknown,10,90,0,0,0,5.1,14.8,28.2,8.0,2,False,3.5,4.6,2,2021/22
411,Aaron_Cresswell_411,unknown,11,90,0,0,0,1.7,14.6,2.3,0.0,11,True,2.5,4.8,1,2021/22
411,Aaron_Cresswell_411,unknown,12,90,0,0,0,7.1,30.6,40.2,0.0,20,False,3.5,4.6,2,2021/22
411,Aaron_Cresswell_411,unknown,13,60,0,0,0,2.5,11.6,5.6,8.0,12,False,3.5,4.8,2,2021/22
411,Aaron_Cresswell_411,unknown,21,90,0,0,1,4.9,17.2,24.1,8.0,15,True,2.5,5.0,6,2021/22
411,Aaron_Cresswell_411,unknown,22,90,0,1,0,10.9,38.0,71.1,0.0,10,True,2.5,5.0,6,2021/22
411,Aaron_Cresswell_411,unknown,23,90,0,0,0,1.0,8.4,1.3,0.0,13,False,3.5,3.6,2,2021/22
411,Aaron_Cresswell_411,unknown,24,90,0,0,1,5.0,22.2,25.8,2.0,18,True,2.5,3.8,8,2021/22
411,Aaron_Cresswell_411,unknown,25,90,0,0,0,2.7,3.8,3.3,20.0,9,False,3.5,4.0,0,2021/22
411,Aaron_Cresswell_411,unknown,26,90,0,1,0,6.3,28.6,16.8,18.0,14,True,2.5,2.8,8,2021/22
411,Aaron_Cresswell_411,unknown,27,90,0,0,1,3.4,15.0,15.6,3.0,20,True,2.5,2.8,7,2021/22
411,Aaron_Cresswell_411,unknown,28,90,0,0,0,0.8,6.8,1.0,0.0,11,False,3.5,3.0,2,2021/22
411,Aaron_Cresswell_411,unknown,29,56,0,0,0,4.3,12.0,29.4,2.0,2,True,2.5,2.8,1,2021/22
411,Aaron_Cresswell_411,unknown,30,90,0,0,0,4.1,22.0,14.8,4.0,17,False,3.5,2.2,1,2021/22
411,Aaron_Cresswell_411,unknown,31,90,1,0,0,4.8,36.2,3.3,8.0,8,True,2.5,2.2,9,2021/22
411,Aaron_Cresswell_411,unknown,32,90,0,0,0,3.9,18.2,16.8,4.0,3,False,3.5,2.0,1,2021/22
411,Aaron_Cresswell_411,unknown,33,90,0,0,0,5.2,15.0,18.8,18.0,5,True,2.5,2.0,2,2021/22
